cap_shape	cap_surface	cap_color	bruises	odor	gill_attachment	gill_spacing	gill_size	gill_color	stalk_shape	stalk_root	stalk_surface_above_ring	stalk_surface_below_ring	stalk_color_above_ring	stalk_color_below_ring	veil_type	veil_color	ring_number	ring_type	spore_print_color	population	habitat	can_eat
x	s	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	s	u	no
x	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	g	yes
b	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
x	y	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	k	s	u	no
x	s	g	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	n	a	g	yes
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g	yes
b	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m	yes
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m	yes
x	y	w	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	v	g	no
b	s	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	yes
x	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	g	yes
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	m	yes
b	s	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	yes
x	y	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	no
x	f	n	f	n	f	w	b	n	t	e	s	f	w	w	p	w	o	e	k	a	g	yes
s	f	g	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	y	u	yes
f	f	w	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	n	a	g	yes
x	s	n	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	k	s	g	no
x	y	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	s	u	no
x	s	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	s	u	no
b	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	m	yes
x	y	n	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	g	no
